"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Mpig6b",0.554082621112059,0.0094353388140375,0.0397201834278524,0.456663701706228,0.922619696696928,0.842030854386784,0.631594570864502,0.948537634930131,0.926439245412126
"Pcdhb4",0.602440501986348,5.77616405877072,0.0397633906344007,0.437658223115936,0.0162546612570947,0.841946091355756,0.614050391056656,0.0383739642608116,0.926439245412126
"Oosp1",1.21194869430025,0.544750763012384,0.0397415671686943,0.270960745462144,0.460479788345466,0.841988898205033,0.457023837897851,0.5827834339387,0.926439245412126
"Gdf3",1.5886546363854,0.351678910640154,0.0396498408826407,0.207534230136045,0.553171468618439,0.842168953586243,0.37956771507553,0.665102677455591,0.926454888618614
"Spred3",4.82221865502675,4.83566248123088,0.039616130740619,0.0281074338552214,0.0278891654440213,0.84223517977949,0.0849979356564564,0.0614699194011873,0.926464451122968
"Bap1",1.41776411793858,0.578802020993794,0.039428855553966,0.233786930306166,0.446791896461555,0.842603630979368,0.413064619126639,0.569943629774193,0.926679843577433
"Btbd9",2.43545316539323,8.37530664504471,0.039449738953757,0.118636585550093,0.00380794262204409,0.842562499315373,0.256292586143433,0.0106217391378444,0.926679843577433
"ENSMUSG00000021745",4.06572199507233,23.7926484544885,0.0394584993844983,0.0437762869442307,1.08176267327089e-06,0.842545248257853,0.121080150176097,5.42836532492403e-06,0.926679843577433
"Selplg",6.79979136441481,0.421897545052282,0.0393567395056103,0.00912411753263324,0.515999724447594,0.842745756906449,0.0336908196808055,0.632668564629479,0.926709568660513
"Mgp",0.156498181486799,6.52016429494356,0.0393643897790274,0.692405763019613,0.0106737030699608,0.842730673374356,0.818070263242024,0.026606600702102,0.926709568660513
"Elp4",1.89208024091169,0.0549153381240621,0.0392479043160446,0.168984004895705,0.814723438483417,0.842960505210518,0.330305958959162,0.870109464551962,0.926822089385713
"Krt84",0.207665636256636,0.0788715539584133,0.039246542364194,0.648608547120749,0.778835626544527,0.84296319450681,0.787435421764583,0.844153603974323,0.926822089385713
"Flacc1",1.75143396542568,19.353764063516,0.0390522197393588,0.185712794453575,1.09207109135552e-05,0.843347400270567,0.351372709327449,4.77448643700814e-05,0.926877055516947
"Syna",1.87274166303426e-05,0.0105767705342664,0.039145940677831,0.996547196860199,0.918088344193252,0.843161975830555,0.99845349007938,0.945085764018663,0.926877055516947
"Ubash3b",0.15629210122914,0.113594694625408,0.0391155780526587,0.692598013120058,0.736091957831778,0.843222022212868,0.818081552502919,0.811778819050734,0.926877055516947
"Emid1",0.771245357481058,0.480388071476287,0.0390465914907025,0.379843384912642,0.488255223320939,0.843358542969279,0.56105467136748,0.607743206395384,0.926877055516947
"Ncaph2",0.137588785640716,5.43630331711607,0.0391693841379499,0.710694165081883,0.0197329658993556,0.843115629628186,0.830742460824155,0.0454462170877178,0.926877055516947
"Adamts20",0.127157926408539,0.0686446707664683,0.0390959646400809,0.721401227611295,0.793323350066856,0.843260823383097,0.837181029707746,0.854525711287719,0.926877055516947
"Zfp212",0.0201854175429311,14.0167235162111,0.0389697274477207,0.887021989164917,0.000181736470241299,0.843510800516963,0.937809262964284,0.000659865249221115,0.926981124733819
